U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Unhead;(v. t.) To take out the head of; as, to unhead a cask.
Unhead;(v. t.) To decapitate
Unheal;(n.) Misfortune
Unheal;(v. t.) To uncover. See Unhele.
Unhealth;(n.) Unsoundness
Unheard;(a.) Not heard; not perceived by the ear; as, words unheard by those present.
Unheard;(a.) Not granted an audience or a hearing; not allowed to speak; not having made a defense, or stated one's side of a question; disregarded; unheeded; as, to condem/ a man unheard.
Unheard;(a.) Not known to fame
Unheard-of;(a.) New
Unheart;(v. t.) To cause to lose heart
Unheedy;(a.) Incautious
Unheired;(a.) Destitute of an heir.
Unhele;(n.) Same as Unheal, n.
Unhele;(v. t.) To uncover.
Unhelm;(v. t.) To deprive of the helm or helmet.
Unhelmed;(a.) Divested or deprived of the helm or helmet.
Unhelmed;(a.) Not wearing a helmet
Unhelmet;(v. t.) To deprive of the helmet.
Unhide;(v. t.) To bring out from concealment
Unhinge;(v. t.) To take from the hinges; as, to unhinge a door.
Unhinge;(v. t.) To displace
Unhinge;(v. t.) To render unstable or wavering; to unsettle; as, to unhinge one's mind or opinions; to unhinge the nerves.
Unhingement;(n.) The act unhinging, or the state of being unhinged.
Unhitch;(v. t.) To free from being hitched, or as if from being hitched; to unfasten; to loose; as, to unhitch a horse, or a trace.
Unhive;(v. t. v. t.) To drive or remove from a hive.
Unhive;(v. t. v. t.) To deprive of habitation or shelter, as a crowd.
Unhoard;(v. t.) To take or steal from a hoard
Unhold;(v. t.) To cease to hold
Unholy;(a.) Not holy; unhallowed; not consecrated; hence, profane; wicked; impious.
Unhonest;(a.) Dishonest
Unhood;(v. t.) To remove a hood or disguise from.
Unhook;(v. t.) To loose from a hook; to undo or open by loosening or unfastening the hooks of; as, to unhook a fish; to unhook a dress.
Unhoop;(v. t.) To strip or deprive of hoops
Unhoped;(a.) Not hoped or expected.
Unhoped-for;(a.) Unhoped
Unhorse;(v. t.) To throw from a horse; to cause to dismount; also, to take a horse or horses from; as, to unhorse a rider; to unhorse a carriage.
Unhosed;(a.) Without hose.
Unhospitable;(a.) Inhospitable.
Unhouse;(v. t.) To drive from a house or habitation; to dislodge; hence, to deprive of shelter.
Unhoused;(a.) Driven from a house
Unhoused;(a.) Not provided with a house or shelter
Unhouseled;(a.) Not having received the sacrament.
Unhuman;(a.) Not human
Unhumanize;(v. t.) To render inhuman or barbarous.
Unhusked;(a.) Not husked
Unhusked;(a.) Having the husk removed
Uni-;() A prefix signifying one, once; as in uniaxial, unicellular.
Uniat;(n.) Alt. of Uniate
Uniate;(n.) A member of the Greek Church, who nevertheless acknowledges the supremacy of the Pope of Rome; one of the United Greeks. Also used adjectively.
Uniaxal;(a.) Uniaxial.
Uniaxial;(a.) Having but one optic axis, or line of no double refraction.
Uniaxial;(a.) Having only one axis
Uniaxially;(adv.) In a uniaxial manner.
Unibranchiate;(a.) Having but one gill, as certain molluscs.
Unicameral;(a.) Having, or consisting of, a single chamber; -- said of a legislative assembly.
Unicapsular;() Having but one capsule to each flower.
Unicarinated;(a.) Having one ridge or keel.
Unicelled;(a.) Unicellular.
Unicellular;(a.) Having, or consisting of, but a single cell; as, a unicellular organism.
Unicentral;(a.) Having a single center of growth.
Unicity;(n.) The condition of being united
Uniclinal;(a.) See Nonoclinal.
Unicolorous;(a.) Having the surface of a uniform color.
Unicorn;(n.) A fabulous animal with one horn
Unicorn;(n.) A two-horned animal of some unknown kind, so called in the Authorized Version of the Scriptures.
Unicorn;(n.) Any large beetle having a hornlike prominence on the head or prothorax.
Unicorn;(n.) The larva of a unicorn moth.
Unicorn;(n.) The kamichi
Unicorn;(n.) A howitzer.
Unicornous;(a.) Having but a single horn
Unicostate;(a.) Having a single rib or strong nerve running upward from the base
Unicursal;(a.) That can be passed over in a single course
Unideaed;(a.) Having no ideas
Unideal;(a.) Not ideal
Unideal;(a.) Unideaed.
Unidimensional;(a.) Having but one dimension. See Dimension.
Unifacial;(a.) Having but one front surface; as, some foliaceous corals are unifacial, the polyp mouths being confined to one surface.
Unific;(a.) Making one or unity
Unification;(n.) The act of unifying, or the state of being unified.
Unifier;(n.) One who, or that which, unifies; as, a natural law is a unifier of phenomena.
Unifilar;(a.) Having only one thread; involving the use of only one thread, wire, fiber, or the like; as, unifilar suspension.
Uniflagellate;(a.) Having but one flagellum; as, uniflagellate organisms.
Uniflorous;(a.) Bearing one flower only; as, a uniflorous peduncle.
Unifolliate;(a.) Having only one leaf.
Unifollilate;(a.) Having only one leaflet, as the leaves of the orange tree.
Uniform;(a.) Having always the same form, manner, or degree; not varying or variable; unchanging; consistent; equable; homogenous; as, the dress of the Asiatics has been uniform from early ages; the temperature is uniform; a stratum of uniform clay.
Uniform;(a.) Of the same form with others
Uniform;(a.) A dress of a particular style or fashion worn by persons in the same service or order by means of which they have a distinctive appearance; as, the uniform of the artillery, of the police, of the Freemasons, etc.
Uniform;(v. t.) To clothe with a uniform; as, to uniform a company of soldiers.
Uniform;(v. t.) To make conformable.
Uniformal;(a.) Uniform.
Uniformism;(n.) The doctrine of uniformity in the geological history of the earth; -- in part equivalent to uniformitarianism, but also used, more broadly, as opposed to catastrophism.
Uniformitarian;(a.) Of, pertaining to, or designating, the view or doctrine that existing causes, acting in the same manner and with essentially the same intensity as at the present time, are sufficient to account for all geological changes.
Uniformitarian;(n.) One who accepts uniformitarianism, or the uniformitarian doctrine.
Uniformitarianism;(n.) The uniformitarian doctrine.
Uniformity;(n.) The quality or state of being uniform; freedom from variation or difference; resemblance to itself at all times; sameness of action, effect, etc., under like conditions; even tenor; as, the uniformity of design in a poem; the uniformity of nature.
Uniformity;(n.) Consistency; sameness; as, the uniformity of a man's opinions.
Uniformity;(n.) Similitude between the parts of a whole; as, the uniformity of sides in a regular figure; beauty is said to consist in uniformity with variety.
Uniformity;(n.) Continued or unvaried sameness or likeness.
Uniformity;(n.) Conformity to a pattern or rule; resemblance, consonance, or agreement; as, the uniformity of different churches in ceremonies or rites.
Uniformly;(adv.) In a uniform manner; without variation or diversity; by a regular, constant, or common ratio of change; with even tenor; as, a temper uniformly mild.
Unifromness;(n.) The quality or state of being uniform
Unified;(imp. & p. p.) of Unify
Unifying;(p. pr. & vb. n.) of Unify
Unify;(v. t.) To cause to be one
Unigeniture;(n.) The state of being the only begotten.
Unigenous;(a.) Being of one kind
Unijugate;(a.) Having but one pair of leaflets
Unilabiate;(a.) Having one lip only; as, a unilabiate corolla.
Unilateral;(a.) Being on one side only
Unilateral;(a.) Pertaining to one side; one-sided; as, a unilateral raceme, in which the flowers grow only on one side of a common axis, or are all turned to one side.
Uniliteral;(a.) Consisting of one letter only; as, a uniliteral word or sign.
Unilobar;(a.) Consisting of a single lobe.
Unilocular;(a.) Having one cell or cavity only; as, a unilocular capsule or shell.
Unimitable;(a.) Inimitable.
Unimpairable;(a.) That can not be impaired.
Unimpeachable;(a.) Not impeachable; not to be called in question; exempt from liability to accusation; free from stain, guilt, or fault; irreproachable; blameless; as, an unimpeachable reputation; unimpeachable testimony.
Unimplicate;(a.) Not implicated.
Unimportance;(n.) Want of importance
Unimproved;(a.) Not improved; not made better or wiser; not advanced in knowledge, manners, or excellence.
Unimproved;(a.) Not used; not employed; especially, not used or employed for a valuable purpose; as, unimproved opportunities; unimproved blessings.
Unimproved;(a.) Not tilled, cultivated, or built upon; yielding no revenue; as, unimproved land or soil.
Unimuscular;(a.) Having only one adductor muscle, and one muscular impression on each valve, as the oyster; monomyarian.
Unincumbered;(a.) Not incumbered
Unincumbered;(a.) Free from any temporary estate or interest, or from mortgage, or other charge or debt; as, an estate unincumbered with dower.
Uninfringible;(a.) That may not be infringed; as, an uninfringible monopoly.
Unintelligence;(n.) Absence or lack of intelligence
Uninteressed;(a.) Uninterested
Uninterested;(a.) Not interested; not having any interest or property in; having nothing at stake; as, to be uninterested in any business.
Uninterested;(a.) Not having the mind or the passions engaged; as, uninterested in a discourse or narration.
Unintermission;(n.) Want or failure of intermission.
Uninucleated;(a.) Possessed of but a single nucleus; as, a uninucleated cell.
Unio;(n.) Any one of numerous species of fresh-water mussels belonging to Unio and many allied genera.
Uniocular;(a.) Of, pertaining to, or seated in, one eye; monocular.
Union;(n.) The act of uniting or joining two or more things into one, or the state of being united or joined; junction; coalition; combination.
Union;(n.) Agreement and conjunction of mind, spirit, will, affections, or the like; harmony; concord.
Union;(n.) That which is united, or made one; something formed by a combination or coalition of parts or members; a confederation; a consolidated body; a league; as, the weavers have formed a union; trades unions have become very numerous; the United States of America are often called the Union.
Union;(n.) A textile fabric composed of two or more materials, as cotton, silk, wool, etc., woven together.
Union;(n.) A large, fine pearl.
Union;(n.) A device emblematic of union, used on a national flag or ensign, sometimes, as in the military standard of Great Britain, covering the whole field; sometimes, as in the flag of the United States, and the English naval and marine flag, occupying the upper inner corner, the rest of the flag being called the fly. Also, a flag having such a device; especially, the flag of Great Britain.
Union;(n.) A joint or other connection uniting parts of machinery, or the like, as the elastic pipe of a tender connecting it with the feed pipe of a locomotive engine; especially, a pipe fitting for connecting pipes, or pipes and fittings, in such a way as to facilitate disconnection.
Union;(n.) A cask suspended on trunnions, in which fermentation is carried on.
Unionism;(n.) The sentiment of attachment to a federal union, especially to the federal union of the United States.
Unionism;(n.) The principles, or the system, of combination among workmen engaged in the same occupation or trade.
Unionist;(n.) One who advocates or promotes union; especially a loyal supporter of a federal union, as that of the United States.
Unionist;(n.) A member or supporter of a trades union.
Unionistic;(a.) Of or pertaining to union or unionists
Uniovulate;(a.) Containing but one ovule.
Unipara;(n.) A woman who has borne one child.
Uniparous;(a.) Producing but one egg or young at a time.
Uniparous;(a.) Producing but one axis of inflorescence
Uniped;(a.) Having only one foot.
Unipersonal;(a.) Existing as one, and only one, person; as, a unipersonal God.
Unipersonal;(a.) Used in only one person, especially only in the third person, as some verbs; impersonal.
Unipersonalist;(n.) One who believes that the Deity is unipersonal.
Uniphonous;(a.) Having but one sound, as the drum.
Uniplicate;(a.) Having, or consisting of, but one fold.
Unipolar;(a.) Having, or acting by means of, one pole only.
Unipolar;(a.) Having but one pole or process
Unique;(a.) Being without a like or equal
Unique;(n.) A thing without a like
Uniquity;(n.) The quality or state of being unique
Uniradiated;(a.) Having but one ray.
Uniramous;(a.) Having but one branch.
Uniseptate;(a.) Having but one septum, or partition; -- said of two-celled fruits, such as the silicles of cruciferous plants.
Uniserial;(a.) Having only one row or series.
Uniseriate;(a.) Having one line or series
Unisexual;(a.) Having one sex only, as plants which have the male and female flowers on separate individuals, or animals in which the sexes are in separate individuals; di/cious; -- distinguished from bisexual, or hermaphrodite. See Di/cious.
Unisilicate;(n.) A salt of orthosilicic acid, H4SiO4; -- so called because the ratio of the oxygen atoms united to the basic metals and silicon respectively is 1:1; for example, Mg2SiO4 or 2MgO.SiO2.
Unison;(n.) Harmony
Unison;(n.) Identity in pitch; coincidence of sounds proceeding from an equality in the number of vibrations made in a given time by two or more sonorous bodies. Parts played or sung in octaves are also said to be in unison, or in octaves.
Unison;(n.) A single, unvaried.
Unison;(n.) Sounding alone.
Unison;(n.) Sounded alike in pitch; unisonant; unisonous; as, unison passages, in which two or more parts unite in coincident sound.
Unisonal;(a.) Being in unison
Unisonance;(n.) Accordance of sounds
Unisonant;(a.) Being in unison
Unisonous;(a.) Being in unison
Unit;(n.) A single thing or person.
Unit;(n.) The least whole number
Unit;(n.) A gold coin of the reign of James I., of the value of twenty shillings.
Unit;(n.) Any determinate amount or quantity (as of length, time, heat, value) adopted as a standard of measurement for other amounts or quantities of the same kind.
Unit;(n.) A single thing, as a magnitude or number, regarded as an undivided whole.
Unitable;(a.) Capable of union by growth or otherwise.
Unitarian;(n.) One who denies the doctrine of the Trinity, believing that God exists only in one person; a unipersonalist; also, one of a denomination of Christians holding this belief.
Unitarian;(n.) One who rejects the principle of dualism.
Unitarian;(n.) A monotheist.
Unitarian;(a.) Of or pertaining to Unitarians, or their doctrines.
Unitarianism;(n.) The doctrines of Unitarians.
Unitarianized;(imp. & p. p.) of Unitarianize
Unitarianizing;(p. pr. & vb. n.) of Unitarianize
Unitarianize;(v. t. & i.) To change or turn to Unitarian views.
Unitary;(a.) Of or pertaining to a unit or units; relating to unity; as, the unitary method in arithmetic.
Unitary;(a.) Of the nature of a unit
United;(imp. & p. p.) of Unite
Uniting;(p. pr. & vb. n.) of Unite
Unite;(v. t.) To put together so as to make one; to join, as two or more constituents, to form a whole; to combine; to connect; to join; to cause to adhere; as, to unite bricks by mortar; to unite iron bars by welding; to unite two armies.
Unite;(v. t.) Hence, to join by a legal or moral bond, as families by marriage, nations by treaty, men by opinions; to join in interest, affection, fellowship, or the like; to cause to agree; to harmonize; to associate; to attach.
Unite;(v. i.) To become one; to be cemented or consolidated; to combine, as by adhesion or mixture; to coalesce; to grow together.
Unite;(v. i.) To join in an act; to concur; to act in concert; as, all parties united in signing the petition.
Unite;(v. t.) United; joint; as, unite consent.
United;(a.) Combined
Unitedly;(adv.) In an united manner.
Uniter;(n.) One who, or that which, unites.
Uniterable;(a.) Not iterable
Unition;(v. t.) The act of uniting, or the state of being united; junction.
Unitive;(a.) Having the power of uniting; causing, or tending to produce, union.
Unitively;(adv.) In a unitive manner.
Unitized;(imp. & p. p.) of Unitize
Unitizing;(p. pr. & vb. n.) of Unitize
Unitize;(v. t.) To reduce to a unit, or one whole; to form into a unit; to unify.
Unitude;(n.) Unity.
Unities;(pl. ) of Unity
Unity;(n.) The state of being one
Unity;(n.) Concord; harmony; conjunction; agreement; uniformity; as, a unity of proofs; unity of doctrine.
Unity;(n.) Any definite quantity, or aggregate of quantities or magnitudes taken as one, or for which 1 is made to stand in calculation; thus, in a table of natural sines, the radius of the circle is regarded as unity.
Unity;(n.) In dramatic composition, one of the principles by which a uniform tenor of story and propriety of representation are preserved; conformity in a composition to these; in oratory, discourse, etc., the due subordination and reference of every part to the development of the leading idea or the eastablishment of the main proposition.
Unity;(n.) Such a combination of parts as to constitute a whole, or a kind of symmetry of style and character.
Unity;(n.) The peculiar characteristics of an estate held by several in joint tenancy.
Univalence;(n.) The quality or state of being univalent.
Univalent;(a.) Having a valence of one; capable of combining with, or of being substituted for, one atom of hydrogen; monovalent; -- said of certain atoms and radicals.
Univalve;(n.) A shell consisting of one valve only; a mollusk whose shell is composed of a single piece, as the snails and conchs.
Univalve;(a.) Alt. of Univalved
Univalved;(a.) Having one valve; as, a univalve shell or pericarp.
Univalvia;(n. pl.) Same as Gastropoda.
Univalvular;(a.) Same as Univalve, a.
Universal;(a.) Of or pertaining to the universe; extending to, including, or affecting, the whole number, quantity, or space; unlimited; general; all-reaching; all-pervading; as, universal ruin; universal good; universal benevolence or benefice.
Universal;(a.) Constituting or considered as a whole; total; entire; whole; as, the universal world.
Universal;(a.) Adapted or adaptable to all or to various uses, shapes, sizes, etc.; as, a universal milling machine.
Universal;(a.) Forming the whole of a genus; relatively unlimited in extension; affirmed or denied of the whole of a subject; as, a universal proposition; -- opposed to particular; e. g. (universal affirmative) All men are animals; (universal negative) No men are omniscient.
Universal;(n.) The whole
Universal;(n.) A general abstract conception, so called from being universally applicable to, or predicable of, each individual or species contained under it.
Universal;(n.) A universal proposition. See Universal, a., 4.
Universalian;(a.) Of or pertaining to Universalism
Universalism;(n.) The doctrine or belief that all men will be saved, or made happy, in the future state.
Universalist;(n.) One who believes in Universalism
Universalist;(n.) One who affects to understand all the particulars in statements or propositions.
Universalist;(a.) Of or pertaining to Unversalists of their doctrines.
Universalistic;(a.) Of or pertaining to the whole
Universalties;(pl. ) of Universality
Universality;(n.) The quality or state of being universal; unlimited extension or application; generality; -- distinguished from particularity; as, the unversality of a proposition; the unversality of sin; the unversality of the Deluge.
Universalized;(imp. & p. p.) of Universalize
Universalizing;(p. pr. & vb. n.) of Universalize
Universalize;(v. t.) To make universal
Universally;(adv.) In a universal manner; without exception; as, God's laws are universally binding on his creatures.
Universalness;(n.) The quality or state of being universal
Universe;(n.) All created things viewed as constituting one system or whole; the whole body of things, or of phenomena; the / / of the Greeks, the mundus of the Latins; the world; creation.
Universities;(pl. ) of University
University;(n.) The universe
University;(n.) An association, society, guild, or corporation, esp. one capable of having and acquiring property.
University;(n.) An institution organized and incorporated for the purpose of imparting instruction, examining students, and otherwise promoting education in the higher branches of literature, science, art, etc., empowered to confer degrees in the several arts and faculties, as in theology, law, medicine, music, etc. A university may exist without having any college connected with it, or it may consist of but one college, or it may comprise an assemblage of colleges established in any place, with professors for instructing students in the sciences and other branches of learning.
Universological;(a.) Of or pertaining to universology.
Universologist;(n.) One who is versed in universology.
Universology;(n.) The science of the universe, and the relations which it involves.
Univocacy;(n.) The quality or state of being univocal.
Univocal;(a.) Having one meaning only
Univocal;(a.) Having unison of sound, as the octave in music. See Unison, n., 2.
Univocal;(n.) Having always the same drift or tenor
Univocal;(n.) Unequivocal
Univocal;(n.) A generic term, or a term applicable in the same sense to all the species it embraces.
Univocal;(n.) A word having but one meaning.
Univocally;(adv.) In a univocal manner
Univocation;(n.) Agreement of name and meaning.
Unjoin;(v. t.) To disjoin.
Unjoint;(v. t.) To disjoint.
Unjointed;(a.) Disjointed; unconnected; hence, incoherent.
Unjointed;(a.) Having no joint or articulation; as, an unjointed stem.
Unjust;(a.) Acting contrary to the standard of right; not animated or controlled by justice; false; dishonest; as, an unjust man or judge.
Unjust;(a.) Contrary to justice and right; prompted by a spirit of injustice; wrongful; as, an unjust sentence; an unjust demand; an unjust accusation.
Unjustice;(n.) Want of justice
Unkard;(a.) See Unked.
Unke;(n.) A European aquatic toad (Bombinator igneus). Its back is dark
Unked;(a.) Odd
Unked;(a.) Lonely
Unkemmed;(a.) Unkempt.
Unkempt;(a.) Not combed; disheveled; as, an urchin with unkempt hair.
Unkempt;(a.) Fig.
Unkennel;(v. t.) To drive from a kennel or hole; as, to unkennel a fox.
Unkennel;(v. t.) Fig.: To discover
Unkent;(a.) Unknown
Unketh;(a.) Uncouth.
Unkind;(a.) Having no race or kindred
Unkind;(a.) Not kind; contrary to nature, or the law of kind or kindred; unnatural.
Unkind;(a.) Wanting in kindness, sympathy, benevolence, gratitude, or the like; cruel; harsh; unjust; ungrateful.
Unkindliness;(n.) Unkindness.
Unkindly;(a.) Not kindly
Unkindly;(a.) Unnatural
Unkindly;(a.) Unfavorable
Unkindred;(a.) Not kindred
Unking;(v. t.) To cause to cease to be a king.
Unkingship;(n.) The quality or condition of being unkinged
Unkiss;(v. t.) To cancel or annul what was done or sealed by a kiss
Unkle;(n.) See Uncle.
Unknight;(v. t.) To deprive of knighthood.
Unknit;(v. t.) To undo or unravel what is knitted together.
Unknot;(v. t.) To free from knots
Unknow;(v. t.) To cease to know
Unknow;(v. t.) To fail of knowing
Unknow;(a.) Unknown.
Unknowledged;(a.) Not acknowledged or recognized.
Unknown;(a.) Not known
Unlabored;(a.) Not produced by labor or toil.
Unlabored;(a.) Not cultivated; untitled; as, an unlabored field.
Unlabored;(a.) Not laboriously produced, or not evincing labor; as, an unlabored style or work.
Unlace;(v. t.) To loose by undoing a lacing; as, to unlace a shoe.
Unlace;(v. t.) To loose the dress of; to undress; hence, to expose; to disgrace.
Unlace;(v. t.) To loose, and take off, as a bonnet from a sail, or to cast off, as any lacing in any part of the rigging of a vessel.
Unlade;(v. t.) To take the load from; to take out the cargo of; as, to unlade a ship or a wagon.
Unlade;(v. t.) To unload; to remove, or to have removed, as a load or a burden; to discharge.
Unlaid;(a.) Not laid or placed
Unlaid;(a.) Not allayed
Unlaid;(a.) Not laid out, as a corpse.
Unland;(v. t.) To deprive of lands.
Unlap;(v. t.) To unfold.
Unlash;(v. t.) To loose, as that which is lashed or tied down.
Unlatched;(imp. & p. p.) of Unlatch
Unlatching;(p. pr. & vb. n.) of Unlatch
Unlatch;(v. i.) To open or loose by lifting the latch; as, to unlatch a door.
Unlaugh;(v. t.) To recall, as former laughter.
Unlaw;(v. t.) To deprive of the authority or character of law.
Unlaw;(v. t.) To put beyond protection of law
Unlaw;(v. t.) To impose a fine upon
Unlaw;(n.) Any transgression or offense against the law.
Unlaw;(n.) A fine imposed as a penalty for violation of the law.
Unlawed;(a.) Not having the claws and balls of the forefeet cut off
Unlawful;(a.) Not lawful
Unlawlike;(a.) Not according to law
Unlay;(v. t.) To untwist; as, to unlay a rope.
Unlearn;(v. t.) To forget, as what has been learned; to lose from memory; also, to learn the contrary of.
Unlearn;(v. t.) To fail to learn.
Unlearned;(a.) Not learned
Unlearned;(a.) Not gained by study
Unlearned;(a.) Not exhibiting learning; as, unlearned verses.
Unleash;(v. t.) To free from a leash, or as from a leash; to let go; to release; as, to unleash dogs.
Unleavened;(a.) Not leavened; containing no leaven; as, unleavened bread.
Unless;(conj.) Upon any less condition than (the fact or thing stated in the sentence or clause which follows); if not; supposing that not; if it be not; were it not that; except; as, we shall fail unless we are industrious.
Unlicked;(a.) Not licked; hence, not properly formed; ungainly. Cf. To lick into shape, under Lick, v.
Unlike;(a.) Not like; dissimilar; diverse; having no resemblance; as, the cases are unlike.
Unlike;(a.) Not likely
Unlikelihood;(n.) Absence of likelihood.
Unlikeliness;(n.) The quality or state of being unlikely.
Unlikely;(a.) Not likely; improbable; not to be reasonably expected; as, an unlikely event; the thing you mention is very unlikely.
Unlikely;(a.) Not holding out a prospect of success; likely to fail; unpromising; as, unlikely means.
Unlikely;(a.) Not such as to inspire liking
Unlikely;(adv.) In an unlikely manner.
Unliken;(v. t.) To make unlike
Unlikeness;(n.) The quality or state of being unlike
Unlimber;(v. t.) To detach the limber from; as, to unlimber a gun.
Unlimitable;(a.) Illimitable.
Unlimited;(a.) Not limited; having no bounds; boundless; as, an unlimited expanse of ocean.
Unlimited;(a.) Undefined; indefinite; not bounded by proper exceptions; as, unlimited terms.
Unlimited;(a.) Unconfined
Unline;(v. t.) To take the lining out of; hence, to empty; as, to unline one's purse.
Unlink;(v. t.) To separate or undo, as links; to uncoil; to unfasten.
Unliquidated;(a.) Not liquidated
Unliquored;(a.) Not moistened or wet with liquor
Unliquored;(a.) Not in liquor
Unlive;(v. t.) To //ve in a contrary manner, as a life; to live in a manner contrary to.
Unlived;(a.) Bereft or deprived of life.
Unload;(v. t.) To take the load from; to discharge of a load or cargo; to disburden; as, to unload a ship; to unload a beast.
Unload;(v. t.) Hence, to relieve from anything onerous.
Unload;(v. t.) To discharge or remove, as a load or a burden; as, to unload the cargo of a vessel.
Unload;(v. t.) To draw the charge from; as, to unload a gun.
Unload;(v. t.) To sell in large quantities, as stock; to get rid of.
Unload;(v. i.) To perform the act of unloading anything; as, let unload now.
Unloader;(n.) One who, or that which, unloads; a device for unloading, as hay from a wagon.
Unlocated;(a.) Not located or placed
Unlocated;(a.) Not surveyed, or designated by marks, limits, or boundaries, as appropriated to some individual, company, or corporation; as, unlocated lands.
Unlock;(v. t.) To unfasten, as what is locked; as, to unlock a door or a chest.
Unlock;(v. t.) To open, in general; to lay open; to undo.
Unlodge;(v. t.) To dislodge
Unlook;(v. t.) To recall or retract, as a look.
Unlooked;(a.) Not observed or foreseen
Unlooked-for;(a.) Not looked for; unexpected; as, an unlooked-for event.
Unloose;(v. t.) To make loose
Unloose;(v. i.) To become unfastened
Unloosen;(v. t.) To loosen
Unlord;(v. t.) To deprive of the rank or position of a lord.
Unlorded;(a.) Deprived of the rank of a lord.
Unlorded;(a.) Not raised to the rank of a lord.
Unlove;(v. t.) To cease to love
Unlovely;(a.) Not lovely
Unluckily;(adv.) In an unlucky manner.
Unluckiness;(n.) Quality or state of being unlucky.
Unlucky;(a.) Not lucky; not successful; unfortunate; ill-fated; unhappy; as, an unlucky man; an unlucky adventure; an unlucky throw of dice; an unlucky game.
Unlucky;(a.) Bringing bad luck
Unlucky;(a.) Mischievous; as, an unlucky wag.
Unlust;(n.) Listlessness
Unlute;(v. t.) To separate, as things cemented or luted; to take the lute or the clay from.
Unmade;(a.) Not yet made or formed; as, an unmade grave.
Unmade;(a.) Deprived of form, character, etc.; disunited.
Unmagistrate;(v. t.) To divest of the office or authority of a magistrate.
Unmaiden;(v. t.) To ravish
Unmake;(v. t.) To destroy the form and qualities of
Unman;(v. t.) To deprive of the distinctive qualities of a human being, as reason, or the like.
Unman;(v. t.) To emasculate
Unman;(v. t.) To deprive of the courage and fortitude of a man
Unman;(v. t.) To deprive of men; as, to unman a ship.
Unmanacle;(v. t.) To free from manacles.
Unmanhood;(n.) Absence or lack of manhood.
Unmanned;(a.) Deprived of manly qualities; deficient in vigor, strength, courage, etc.; weak; effeminate.
Unmanned;(a.) Not tamed; not made familiar with, or subject to, man; -- also used figuratively.
Unmanned;(a.) Not furnished with men; as, an unmanned ship.
Unmannerly;(a.) Not mannerly
Unmannerly;(adv.) Uncivilly
Unmantle;(v. t.) To divest of a mantle
Unmarry;(v. t.) To annul the marriage of
Unmartyr;(v. t.) To degrade from the rank of a martyr.
Unmasculate;(v. t.) To emasculate.
Unmask;(v. t.) To strip of a mask or disguise
Unmask;(v. i.) To put off a mask.
Unmasterable;(a.) Incapable of being mastered or subdued.
Unmaterial;(a.) Not material
Unmeaning;(a.) Having no meaning or signification; as, unmeaning words.
Unmeaning;(a.) Not indicating intelligence or sense; senseless; expressionless; as, an unmeaning face.
Unmeant;(a.) Not meant or intended
Unmeasurable;(a.) Immeasurable.
Unmechanize;(v. t.) To undo the mechanism of; to unmake; as, to unmechanize a structure.
Unmechanized;(a.) Not mechanized.
Unmeet;(a.) Not meet or fit
Unmember;(v. t.) To deprive of membership, as in a church.
Unmentionables;(n. pl.) The breeches
Unmerchantable;(a.) Not merchantable; not fit for market; being of a kind, quality, or quantity that is unsalable.
Unmercied;(a.) Unmerciful
Unmerciful;(a.) Not merciful
Unmerciless;(a.) Utterly merciless.
Unmew;(v. t.) To release from confinement or restraint.
Unmingle;(v. t.) To separate, as things mixed.
Unmistakable;(a.) Incapable of being mistaken or misunderstood
Unmiter;(v. t.) Alt. of Unmitre
Unmitre;(v. t.) To deprive of a miter
Unmold;(v. t.) Alt. of Unmould
Unmould;(v. t.) To change the form of
Unmoneyed;(a.) Destitute of money
Unmonopolize;(v. t.) To recover or release from the state of being monopolized.
Unmoor;(v. t.) To cause to ride with one anchor less than before, after having been moored by two or more anchors.
Unmoor;(v. t.) To loose from anchorage. See Moor, v. t.
Unmoor;(v. i.) To weigh anchor.
Unmoral;(a.) Having no moral perception, quality, or relation; involving no idea of morality; -- distinguished from both moral and immoral.
Unmoralized;(a.) Not restrained or tutored by morality.
Unmorrised;(a.) Not arrayed in the dress of a morris dancer.
Unmortise;(v. t.) To loosen, unfix, or separate, as things mortised together.
Un-Mosaic;(a.) Not according to Moses
Unmothered;() Deprived of a mother
Unmovable;(a.) Immovable.
Unmovably;(adv.) Immovably.
Unmoved;(a.) Not moved
Unmuffle;(v. t.) To take a covering from, as the face; to uncover.
Unmuffle;(v. t.) To remove the muffling of, as a drum.
Unmutable;(a.) Immutable.
Unmuzzle;(v. t.) To loose from a muzzle
Unnail;(v. t.) To remove the nails from
Unnapped;(a.) Finished without a nap.
Unnatural;(a.) Not natural; contrary, or not conforming, to the order of nature; being without natural traits; as, unnatural crimes.
Unnaturalize;(v. t.) To make unnatural.
Unnature;(v. t.) To change the nature of
Unnature;(n.) The contrary of nature
Unnear;(prep.) Not near
Unnesessary;(a.) Not necessary; not required under the circumstances; unless; needless; as, unnecessary labor, care, or rigor.
